class,compute_time,idx,image,model,image_time,model_size,model_time,prob
drum,0.501398,541,15Mb,resnet18,8.322329,46835260,0.0,0.5142418742179871
drum,0.500863,541,15Mb,resnet18,6.785676,46835260,0.0,0.5142418742179871
drum,0.500789,541,15Mb,resnet18,5.572651,46835260,0.0,0.5142418742179871
drum,0.517521,541,15Mb,resnet18,5.434743,46835260,0.0,0.5142418742179871
drum,0.504801,541,15Mb,resnet18,8.202225,46835260,0.0,0.5142418742179871
drum,0.513102,541,15Mb,resnet18,6.316797,46835260,0.0,0.5142418742179871
drum,0.509441,541,15Mb,resnet18,6.963221,46835260,0.0,0.5142418742179871
drum,0.497322,541,15Mb,resnet18,7.46592,46835260,0.0,0.5142418742179871
drum,0.511317,541,15Mb,resnet18,6.780871,46835260,0.0,0.5142418742179871
drum,0.501587,541,15Mb,resnet18,5.647562,46835260,0.0,0.5142418742179871
drum,0.496496,541,15Mb,resnet18,6.095985,46835260,0.0,0.5142418742179871
drum,0.499356,541,15Mb,resnet18,10.023674,46835260,0.0,0.5142418742179871
drum,0.49853,541,15Mb,resnet18,7.765349,46835260,0.0,0.5142418742179871
drum,0.496107,541,15Mb,resnet18,7.616577,46835260,0.0,0.5142418742179871
drum,0.494812,541,15Mb,resnet18,7.026982,46835260,0.0,0.5142418742179871
drum,0.495302,541,15Mb,resnet18,8.859618,46835260,0.0,0.5142418742179871
drum,0.500754,541,15Mb,resnet18,8.735456,46835260,0.0,0.5142418742179871
drum,0.50012,541,15Mb,resnet18,9.624737,46835260,0.0,0.5142418742179871
drum,0.500118,541,15Mb,resnet18,7.249263,46835260,0.0,0.5142418742179871
drum,0.502138,541,15Mb,resnet18,6.954793,46835260,0.0,0.5142418742179871
drum,0.510345,541,15Mb,resnet18,6.118372,46835260,0.0,0.5142418742179871
drum,0.513004,541,15Mb,resnet18,6.999162,46835260,0.0,0.5142418742179871
drum,0.510486,541,15Mb,resnet18,6.563564,46835260,0.0,0.5142418742179871
drum,0.51481,541,15Mb,resnet18,8.80044,46835260,0.0,0.5142418742179871
drum,0.516818,541,15Mb,resnet18,6.562529,46835260,0.0,0.5142418742179871
drum,0.514606,541,15Mb,resnet18,6.349396,46835260,0.0,0.5142418742179871
drum,0.517652,541,15Mb,resnet18,5.789251,46835260,0.0,0.5142418742179871
drum,0.495173,541,15Mb,resnet18,6.155059,46835260,0.0,0.5142418742179871
drum,0.502818,541,15Mb,resnet18,6.313978,46835260,0.0,0.5142418742179871
drum,0.500224,541,15Mb,resnet18,7.936229,46835260,0.0,0.5142418742179871
drum,0.50124,541,15Mb,resnet18,11.249808,46835260,0.0,0.5142418742179871
drum,0.496433,541,15Mb,resnet18,6.321635,46835260,0.0,0.5142418742179871
drum,0.502998,541,15Mb,resnet18,6.815466,46835260,0.0,0.5142418742179871
drum,0.506597,541,15Mb,resnet18,7.233955,46835260,0.0,0.5142418742179871
drum,0.509799,541,15Mb,resnet18,8.199622,46835260,0.0,0.5142418742179871
drum,0.509162,541,15Mb,resnet18,8.160609,46835260,0.0,0.5142418742179871
drum,0.509815,541,15Mb,resnet18,15.335639,46835260,0.0,0.5142418742179871
drum,0.50974,541,15Mb,resnet18,7.259612,46835260,0.0,0.5142418742179871
drum,0.510512,541,15Mb,resnet18,7.238817,46835260,0.0,0.5142418742179871
drum,0.511403,541,15Mb,resnet18,7.420018,46835260,0.0,0.5142418742179871
drum,0.501772,541,15Mb,resnet18,8.943003,46835260,0.0,0.5142418742179871
drum,0.501499,541,15Mb,resnet18,8.007128,46835260,0.0,0.5142418742179871
drum,0.511186,541,15Mb,resnet18,6.918839,46835260,0.0,0.5142418742179871
